,University Name,Field,City,Region,Major,Lowest Score,Highest Score,Ranking,YEAR
141,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Veterinary,293.41138,338.65115,123000,2015
142,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,"
Biomedical Engineering",318.1715,376.16457,117000,2016
143,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,"
Electrical Engineering",292.20085,341.90628,148000,2016
144,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,"
Islamic Sciences",353.33355,427.67163,244000,2016
145,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,"
Mechatronic Engineering",270.60322,362.56214,180000,2016
146,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,"
Molecular Biology and Genetics",265.01858,307.49425,189000,2016
147,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,"
Nutrition and Dietetics",435.81965,466.93382,60300,2016
148,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,Cinema and Television,320.38515,398.97656,161000,2016
149,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,Contemporary Turkish Dialects and Literatures,315.92737,420.69776,172000,2016
150,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Electrical and Electronics Engineering,289.71801,324.63068,151000,2016
151,AFYON KOCATEPE UNIVERSITY,EA,AFYON,Aegean Region,Finance,279.97518,333.79729,299000,2016
152,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,Gastronomy and Kitchen Arts,368.29136,393.80109,68300,2016
153,AFYON KOCATEPE UNIVERSITY,EA,AFYON,Aegean Region,Health Management,334.18196,466.85481,311000,2016
154,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,History,327.04471,387.65161,145000,2016
155,AFYON KOCATEPE UNIVERSITY,EA,AFYON,Aegean Region,Law,426.69815,445.0327,27000,2016
156,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Map Engineering,272.42907,321.59886,177000,2016
157,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Math,236.02549,332.03883,260000,2016
158,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Mechanical Engineering,247.76146,258.69823,171000,2016
159,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Medicine,468.46219,528.29389,13100,2016
160,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Metallurgy and Materials Engineering,241.34575,265.75001,236000,2016
161,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Nursing,362.49702,419.87999,154000,2016
162,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Physical Therapy and Rehabilitation,439.97857,471.8336,56100,2016
163,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,Pre-school Teaching,371.2778,452.4898,205000,2016
164,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Primary School Math Teaching,360.1289,429.38606,81700,2016
165,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,Social Science Teaching,355.76108,398.65862,62400,2016
166,AFYON KOCATEPE UNIVERSITY,EA,AFYON,Aegean Region,Sociology,314.79035,344.47922,236000,2016
167,AFYON KOCATEPE UNIVERSITY,EA,AFYON,Aegean Region,Teaching,364.08306,397.93614,99800,2016
168,AFYON KOCATEPE UNIVERSITY,DIL,AFYON,Aegean Region,Tourism Guidance,229.20257,277.07206,41100,2016
169,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,Turkish Language and Literature,357.77669,436.86033,84000,2016
170,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,Turkish Teaching,409.29695,455.96227,25400,2016
171,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Veterinary,311.76601,387.94776,123000,2016
172,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,"
Biomedical Engineering",292.19771,339.74126,97400,2017
173,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,"
Electrical Engineering",278.36595,330.90893,152000,2017
174,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,"
Islamic Sciences",346.00129,415.47733,379000,2017
175,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,"
Mechatronic Engineering",264.80447,334.66613,198000,2017
176,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,"
Molecular Biology and Genetics",262.49854,325.63445,213000,2017
177,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,"
Nutrition and Dietetics",372.75445,414.18011,96000,2017
178,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,"
Physical Therapy and Rehabilitation",375.27907,432.92884,92700,2017
179,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,Cinema and Television,295.27441,358.2334,241000,2017
180,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,Contemporary Turkish Dialects and Literatures,283.13482,359.7282,282000,2017
181,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Electrical and Electronics Engineering,283.64186,359.69752,240000,2017
182,AFYON KOCATEPE UNIVERSITY,EA,AFYON,Aegean Region,Finance,255.22575,313.14959,295000,2017
